id,name,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,complexity,width,length,depth,weight
224517,Brass: Birmingham,2018,1,8.39915,8.57194,54863,0,,,,,,1,,,3.868,11.811,11.811,2.04724,4.3894
161936,Pandemic Legacy: Season 1,2015,2,8.35472,8.50893,56456,0,,,,,,3,1,,2.8282,9.05512,11.9685,3,4.89426
342942,Ark Nova,2021,3,8.35262,8.54073,56344,0,,,,,,2,,,3.7885,11.811,14.3701,2.87402,5.4851
174430,Gloomhaven,2017,4,8.31292,8.55214,65904,0,,,,,,4,2,,3.9133,11.5,16,7.5,18.9598
316554,Dune: Imperium,2020,5,8.22315,8.41446,55263,0,,,,,,7,,,3.07,11.811,11.811,3.22835,3.43039
233078,Twilight Imperium: Fourth Edition,2017,6,8.22204,8.56762,27155,0,,,,,,6,4,,4.3433,11.81,17,5.28,10.58
115746,War of the Ring: Second Edition,2011,7,8.19414,8.54931,24123,0,,,,,,,3,1,4.2229,10.9449,16.063,3.58268,6.57418
167791,Terraforming Mars,2016,8,8.19349,8.34311,109375,0,,,,,,8,,,3.2659,11.7,11.7,2.8,3.5274
397598,Dune: Imperium – Uprising,2023,9,8.18423,8.7034,14905,0,,,,,,5,,,3.5032,12,12,3.15,3.5
187645,Star Wars: Rebellion,2016,10,8.16902,8.41889,35401,0,,,,,,,6,,3.7472,11.6142,11.6142,5.31496,5.75407
162886,Spirit Island,2017,11,8.1415,8.33954,59973,0,,,,,,10,,,4.0773,11.5354,11.5354,3.07087,4.29901
291457,Gloomhaven: Jaws of the Lion,2020,12,8.11178,8.37652,39385,0,,,,,,11,7,,3.6328,9.05512,11.4173,4.33071,6.30522
220308,Gaia Project,2017,13,8.09131,8.35611,30271,0,,,,,,9,,,4.4008,11.811,14.3701,2.65748,6.40222
12333,Twilight Struggle,2005,14,8.04714,8.2329,51220,0,,,,,,14,,2,3.6136,9.2,12.2,2.1,3.5274
84876,The Castles of Burgundy,2011,15,8.02423,8.15326,67502,0,,,,,,16,,,2.9737,8.625,12.2,2.625,2
182028,Through the Ages: A New Story of Civilization,2015,16,8.02376,8.25544,34071,0,,,,,,13,,,4.4392,10.0394,14.5669,2.95276,3.96832
193738,Great Western Trail,2016,17,7.98541,8.15868,43112,0,,,,,,19,,,3.6961,11.6142,11.6142,2.95276,3.85809
295770,Frosthaven,2022,19,7.96438,8.76552,9354,0,,,,,,12,5,,4.4071,11.811,16.3386,9.84252,33.0693
28720,Brass: Lancashire,2007,20,7.9591,8.19666,26672,0,,,,,,18,,,3.8506,10.7,12.4,2.2,3.5
173346,7 Wonders Duel,2015,21,7.95783,8.08221,105238,0,,,,,,26,,,2.2268,8,8,2,1.23
169786,Scythe,2016,22,7.95612,8.10929,90762,0,,,,,,25,,,3.4529,11.811,14.3701,3.93701,7.38989
167355,Nemesis,2018,23,7.95103,8.25425,35647,0,,,,,,,12,,3.4849,11.6929,11.6929,5.90551,8.53189
177736,A Feast for Odin,2016,24,7.94308,8.16529,32175,0,,,,,,22,,,3.8646,8.85827,12.4016,4.72441,8.6
266507,Clank! Legacy: Acquisitions Incorporated,2019,25,7.94216,8.50775,10874,0,,,,,,,8,,2.7375,16.5,11.25,4.25,7.46926
124361,Concordia,2013,26,7.92973,8.08208,43926,0,,,,,,24,,,2.9872,15.8,11.3,2.2,3.7
418059,SETI: Search for Extraterrestrial Intelligence,2024,27,7.91417,8.39166,14165,0,,,,,,20,,,3.8059,14.4882,10.1575,2.91339,7.42517
338960,Slay the Spire: The Board Game,2024,28,7.91396,8.67889,9314,0,,,,,,17,,,2.9152,12.2047,12.2047,4.52756,8.43709
421006,The Lord of the Rings: Duel for Middle-earth,2024,29,7.90681,8.35876,14867,0,,,,1,,23,,,2.0635,8.11024,10.6693,2.04724,1.38891
312484,Lost Ruins of Arnak,2020,30,7.90584,8.07492,53409,0,,,,2,,31,,,2.9336,10.0394,14.3701,2.75591,5.2448
341169,Great Western Trail: Second Edition,2021,31,7.90513,8.27889,16666,0,,,,,,21,,,3.7031,11.61,11.61,2.95,2.40304
205637,Arkham Horror: The Card Game,2016,32,7.89698,8.12568,46740,0,,2,,,,,13,,3.5627,10,10,2,2.0503
237182,Root,2018,33,7.88151,8.06883,60670,0,,,,,,37,,12,3.8347,8.85827,11.4173,2.75591,4.01241
